Variable,Source,ddof1,ddof2,F,p-unc,np2
Likes,MediaType,2,992,3.297369757589729,0.03738604538122152,0.006604019883362516
CharacterNum,MediaType,2,988,1.384968802248407,0.2508171760626041,0.002795742482047875
CommLength,MediaType,2,993,1.3328922303512083,0.264184831794789,0.0026773888410219155
Sentiment,MediaType,2,976,16.379076105140115,1.0079221240624004e-07,0.0324737422329665
Focus,MediaType,2,991,1.0247753806838678,0.35925704726354707,0.00206389576411001
Alignment,MediaType,2,537,16.723769133274835,8.998652793028361e-08,0.05863385503983162
