Shots: chi2 = 14.8, p = 0.01
Graphics: chi2 = 76.71, p = 0.0
EditsStyle: chi2 = 8.57, p = 0.01
Broll: chi2 = 4.15, p = 0.13
NatSound: chi2 = 37.86, p = 0.0
Audio: chi2 = 8.7, p = 0.01
Music: chi2 = 0.25, p = 0.88
Narration: chi2 = 1.21, p = 0.55
Humor: chi2 = 43.48, p = 0.0
Offensive: chi2 = 5.63, p = 0.23
Sourcing: chi2 = 8.7, p = 0.01
Topic: chi2 = 52.36, p = 0.0
