Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
CommLength,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,0.9550223082065192,223.89051861446933,two-sided,0.3405964175111561,1.0,bonf,0.217,0.12137673079847083
CommLength,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,0.578287049525664,316.2896417537385,two-sided,0.5634818484790323,1.0,bonf,0.145,0.06423043331163564
CommLength,Publisher,GoodMorning BadNews,Washington Post,False,True,0.7715919910680352,314.9096038481,two-sided,0.44093471757572666,1.0,bonf,0.161,0.08448506647460727
CommLength,Publisher,NPR,Tampa Bay Times,False,True,-0.35673850124655043,232.8485470108475,two-sided,0.7216106428779682,1.0,bonf,0.146,-0.04297072652690987
CommLength,Publisher,NPR,UnderTheDeskNews,False,True,-0.8442394493946516,344.80281154529905,two-sided,0.39912096971203026,1.0,bonf,0.167,-0.09045022135282532
CommLength,Publisher,NPR,Washington Post,False,True,-0.7216804432383098,350.4564312439557,two-sided,0.47097217742001907,1.0,bonf,0.149,-0.07596652440132017
CommLength,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,-0.4260769271469384,229.63847966918078,two-sided,0.670450886123739,1.0,bonf,0.149,-0.05149451377139485
CommLength,Publisher,Tampa Bay Times,Washington Post,False,True,-0.2918893601360087,214.50408717931782,two-sided,0.7706533167393663,1.0,bonf,0.141,-0.035222772524647956
CommLength,Publisher,UnderTheDeskNews,Washington Post,False,True,0.1669127099734491,354.05743533667,two-sided,0.8675340170056136,1.0,bonf,0.118,0.017525467935376376
Sentiment,Publisher,CNN,GoodMorning BadNews,False,True,0.625163859512361,344.70583225381597,two-sided,0.5322771476846431,1.0,bonf,0.144,0.0645749713817797
Sentiment,Publisher,CNN,NPR,False,True,3.001285024483146,364.1567663460022,two-sided,0.0028737743031154654,0.04310661454673198,bonf,8.418,0.3087307047405455
Sentiment,Publisher,CNN,Tampa Bay Times,False,True,-4.025978606283105,186.59330318740555,two-sided,8.243961202101614e-05,0.001236594180315242,bonf,257.137,-0.49708027102995017
Sentiment,Publisher,CNN,UnderTheDeskNews,False,True,-3.3640811803808437,378.86354561586177,two-sided,0.0008463916857644365,0.012695875286466547,bonf,24.978,-0.33982131727622716
Sentiment,Publisher,CNN,Washington Post,False,True,-1.2515791680968364,391.6951072261388,two-sided,0.21147017252292685,1.0,bonf,0.238,-0.12537746539233147
Sentiment,Publisher,GoodMorning BadNews,NPR,False,True,2.4945158227466857,309.77842697006275,two-sided,0.01313365957151671,0.19700489357275064,bonf,2.401,0.27674032262401643
Sentiment,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,-4.584016393468162,171.0436251767148,two-sided,8.770963597957034e-06,0.00013156445396935552,bonf,2145.39,-0.6280886181198694
Sentiment,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,-4.13494051401704,309.58429853757997,two-sided,4.5774100459566446e-05,0.0006866115068934967,bonf,376.646,-0.46337445459604387
Sentiment,Publisher,GoodMorning BadNews,Washington Post,False,True,-1.930412416269802,323.01859979924416,two-sided,0.054430882000855,0.8164632300128251,bonf,0.727,-0.21006562805177084
Sentiment,Publisher,NPR,Tampa Bay Times,False,True,-6.291926371291843,196.11190376008864,two-sided,2.004054689960711e-09,3.006082034941066e-08,bonf,7.151e+06,-0.805222550878553
Sentiment,Publisher,NPR,UnderTheDeskNews,False,True,-6.317355213233372,330.78474114547674,two-sided,8.583675492453748e-10,1.287551323868062e-08,bonf,1.054e+07,-0.6823316840438262
Sentiment,Publisher,NPR,Washington Post,False,True,-4.243352664464173,344.2923385481272,two-sided,2.8346033866091883e-05,0.0004251905079913782,bonf,569.548,-0.45129424057234285
Sentiment,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,1.5429446058558334,172.09050588987313,two-sided,0.12468108286542681,1.0,bonf,0.425,0.2053041192220818
Sentiment,Publisher,Tampa Bay Times,Washington Post,False,True,3.099438572554874,179.5430370511799,two-sided,0.0022513462775936074,0.03377019416390411,bonf,12.323,0.4005391468876032
Sentiment,Publisher,UnderTheDeskNews,Washington Post,False,True,2.1226340817483584,354.9720937929143,two-sided,0.03447630895765159,0.5171446343647738,bonf,1.011,0.22368835692533906
Focus,Publisher,CNN,GoodMorning BadNews,False,True,-0.08030931323702062,316.2891550039136,two-sided,0.9360420414700703,1.0,bonf,0.119,-0.008603457598813802
Focus,Publisher,CNN,NPR,False,True,-2.5061251556002153,368.811947516415,two-sided,0.012636083536890174,0.18954125305335262,bonf,2.3,-0.2564901653897811
Focus,Publisher,CNN,Tampa Bay Times,False,True,-3.185215770116262,202.31511203558622,two-sided,0.001675329467178794,0.02512994200768191,bonf,15.718,-0.3803833082067975
Focus,Publisher,CNN,UnderTheDeskNews,False,True,-1.190813444074619,368.53184448774647,two-sided,0.23449325848793423,1.0,bonf,0.224,-0.12186159360026395
Focus,Publisher,CNN,Washington Post,False,True,-3.0677561765474333,394.33002054299726,two-sided,0.0023055692607022935,0.0345835389105344,bonf,10.006,-0.3066259549479588
Focus,Publisher,GoodMorning BadNews,NPR,False,True,-2.2160502456647526,309.91712855494717,two-sided,0.02741422656770704,0.4112133985156056,bonf,1.28,-0.24782653818544081
Focus,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,-2.909189375981567,218.67013764745926,two-sided,0.003997826409621568,0.05996739614432352,bonf,7.382,-0.3723000636811948
Focus,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,-1.0139609725706482,311.83506903133974,two-sided,0.3113874519555166,1.0,bonf,0.202,-0.11310933013783236
Focus,Publisher,GoodMorning BadNews,Washington Post,False,True,-2.7146586433339386,312.13427109875056,two-sided,0.007003436388864395,0.10505154583296591,bonf,4.034,-0.29820862514840685
Focus,Publisher,NPR,Tampa Bay Times,False,True,-0.992402710369328,211.65974254504437,two-sided,0.32213427137747785,1.0,bonf,0.219,-0.12336614308332167
Focus,Publisher,NPR,UnderTheDeskNews,False,True,1.2479128289295887,344.9691130972642,two-sided,0.21290936263775176,1.0,bonf,0.25,0.1336861286563346
Focus,Publisher,NPR,Washington Post,False,True,-0.46778340082626146,356.4905890100705,two-sided,0.6402253280919393,1.0,bonf,0.129,-0.04914065553344039
Focus,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,2.0768567472743555,214.00829402209777,two-sided,0.03900860543049068,0.5851290814573602,bonf,1.052,0.2568241626184242
Focus,Publisher,Tampa Bay Times,Washington Post,False,True,0.6075314799730958,204.95831092230975,two-sided,0.5441707749352819,1.0,bonf,0.162,0.07450853754714588
Focus,Publisher,UnderTheDeskNews,Washington Post,False,True,-1.7458677945350525,356.78919629274293,two-sided,0.08169465985150394,1.0,bonf,0.501,-0.18323925791866338
Alignment,Publisher,CNN,GoodMorning BadNews,False,True,-1.1931926241674704,157.13616493535798,two-sided,0.23459238209609123,1.0,bonf,0.328,-0.18283700035674647
Alignment,Publisher,CNN,NPR,False,True,2.4121100702525182,196.77531988591812,two-sided,0.01677845958325858,0.2516768937488787,bonf,2.29,0.34063992918153674
Alignment,Publisher,CNN,Tampa Bay Times,False,True,-1.6651868639826826,143.68019068455536,two-sided,0.098054520682023,1.0,bonf,0.616,-0.2620413877504006
Alignment,Publisher,CNN,UnderTheDeskNews,False,True,-3.615009306026866,174.77710107843868,two-sided,0.000392617121418799,0.005889256821281985,bonf,61.001,-0.5201650348228305
Alignment,Publisher,CNN,Washington Post,False,True,-1.3525854776391784,191.97216597368288,two-sided,0.17777910036254785,1.0,bonf,0.353,-0.1877265781431229
Alignment,Publisher,GoodMorning BadNews,NPR,False,True,3.566943368745462,159.5375686291568,two-sided,0.00047708874450777224,0.007156331167616584,bonf,52.58,0.5375657919728334
Alignment,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,-0.5240204960049241,129.94315768494636,two-sided,0.6011569477496846,1.0,bonf,0.21,-0.09024008131365671
Alignment,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,-2.186998604122467,130.2802560916341,two-sided,0.03052787456006329,0.45791811840094937,bonf,1.532,-0.35662426030414235
Alignment,Publisher,GoodMorning BadNews,Washington Post,False,True,-0.00871786481592558,142.7102487446141,two-sided,0.9930564133303226,1.0,bonf,0.165,-0.0013208954907783122
Alignment,Publisher,NPR,Tampa Bay Times,False,True,-3.919612994404195,144.92508995741613,two-sided,0.0001363075863147488,0.0020446137947212318,bonf,166.29,-0.6075253991439852
Alignment,Publisher,NPR,UnderTheDeskNews,False,True,-6.372682878947786,182.13875257677066,two-sided,1.4787322880832546e-09,2.218098432124882e-08,bonf,6.757e+06,-0.8981908131818851
Alignment,Publisher,NPR,Washington Post,False,True,-4.030123431620163,200.20154317242913,two-sided,7.917219459541278e-05,0.0011875829189311915,bonf,252.155,-0.5505592192790765
Alignment,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,-1.4566038815020343,115.43835221160106,two-sided,0.14794037945909358,1.0,bonf,0.462,-0.2455273005964936
Alignment,Publisher,Tampa Bay Times,Washington Post,False,True,0.5721784323633183,125.1670627248216,two-sided,0.5682273377864144,1.0,bonf,0.195,0.0900121339717717
Alignment,Publisher,UnderTheDeskNews,Washington Post,False,True,2.54769255082154,204.35645961460338,two-sided,0.011579015924747787,0.1736852388712168,bonf,3.097,0.34754325068504255
