Case,Platform,Publisher,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,VideoURL,Animation,Filters,Decorum_Z,Language_Z
21.0,TikTok,The Washington Post,11/9/23,2045,78,48.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,Hybrid,Former U.N. ambassador Nikki Haley told entrepreneur and fellow Republican presidential candidate,0,0,0.25,0.25
22.0,YouTube Shorts,NPR,8/30/23,155,3,48.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,0.0,Hybrid,The Belfast peace walls are not coming down anytime soon. - YouTube,0,0,0.25,0.0
23.0,YouTube Shorts,NPR,8/31/23,306,131,48.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,Hybrid,McConnell freezes at Kentucky press conference - YouTube,0,0,0.0,0.25
24.0,YouTube Shorts,NPR,9/1/23,136,6,48.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,,,4.0,3.0,1.0,Hybrid,A world record volleyball match - YouTube,0,0,,
25.0,YouTube Shorts,NPR,9/6/23,63,2,48.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,,,7.0,3.0,1.0,Hybrid,"Torrential rains flood Greece, Turkey, Bulgaria - YouTube",0,0,,
26.0,YouTube Shorts,NPR,9/6/23,146,5,48.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,Hybrid,Technicians demonstrate a Soviet-era reactor - YouTube,0,0,0.25,0.0
27.0,YouTube Shorts,NPR,9/7/23,145,16,48.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,,,3.0,3.0,1.0,Hybrid,"Convicted murderer ""crab walks"" out of Pennsylvania prison yard - YouTube",0,0,,
28.0,YouTube Shorts,NPR,9/8/23,76,3,48.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,,2.0,3.0,2.0,1.0,Hybrid,Ailing explorer trapped in Turkish cave - YouTube,0,0,,0.25
29.0,Instagram Reels,NPR,11/1/23,8567,71,48.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,7.0,3.0,0.0,Hybrid,Things are not looking good for amphibians.,0,0,0.5,0.25
30.0,Instagram Reels,NPR,11/1/23,7056,1085,22.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,,,1.0,2.0,1.0,Hybrid,Foreign nationals gathered at Gaza's border crossing with Egypt on…,0,0,,
