Publisher,Instagram Reels_x,TikTok_x,YouTube Shorts_x,All,Instagram Reels_y,TikTok_y,YouTube Shorts_y
CNN,7,7,7,21,16.669999999999998,16.669999999999998,16.669999999999998
GoodMorning BadNews,7,7,7,21,16.669999999999998,16.669999999999998,16.669999999999998
NPR,7,7,7,21,16.669999999999998,16.669999999999998,16.669999999999998
Tampa Bay Times,7,7,7,21,16.669999999999998,16.669999999999998,16.669999999999998
The Washington Post,7,7,7,21,16.669999999999998,16.669999999999998,16.669999999999998
UnderTheDeskNews,7,7,7,21,16.669999999999998,16.669999999999998,16.669999999999998
All,42,42,42,126,,,
