SRC_TOTAL,biden,harris,pence,trump
0.0,7.140000000000001,3.5700000000000003,0.0,89.29
1.0,3.7699999999999996,9.43,1.8900000000000001,84.91
2.0,4.55,4.55,0.0,90.91
3.0,8.57,2.86,0.0,88.57000000000001
4.0,8.33,0.0,0.0,91.67
5.0,0.0,0.0,0.0,100.0
All,5.64,5.13,0.51,88.72
