Variable,Source,ddof1,ddof2,F,p-unc,np2
Likes,Platform,2,992,10.654064025794696,2.642362255114552e-05,0.021028280995397837
CharacterNum,Platform,2,988,45.61483196270675,1.1263591796725102e-19,0.08453220567862232
CommLength,Platform,2,993,11.853845317699687,8.17398651104171e-06,0.023318099050261994
Sentiment,Platform,2,976,5.356236507582776,0.004858356348863415,0.01085673213639502
Focus,Platform,2,991,7.600177900934641,0.0005300814625448744,0.015106688955357894
Alignment,Platform,2,537,2.882770374100861,0.056846267329808076,0.010622525409873903
