,2016,2020
attack,37.0,28.999999999999996
campaign event or info,32.0,3.0
covid,0.0,21.0
endorsement,0.0,1.0
horserace,11.0,3.0
media,5.0,20.0
other,11.0,9.0
policy issue,0.0,12.0
scandal,5.0,3.0
conflict,83.0,74.0
economic,6.0,0.0
human interest,6.0,22.0
morality,6.0,0.0
responsibility,0.0,4.0
3.0,11.0,0.0
negative,84.0,72.0
positive,5.0,28.000000000000004
