PUBLISHER,cnn,cnn,cnn,cnn,cnn,cnn,cnn,cnn,fox,fox,fox,fox,fox,fox,fox,fox
YEAR,2016,2016,2016,2016,2020,2020,2020,2020,2016,2016,2016,2016,2020,2020,2020,2020
,0.0,0,0.0,0,1.0,2,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0
attack,54.0,66,54.0,66,26.0,37,26.0,37,44.0,15,44.0,15,40.0,48,40.0,48
call to action,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,4.0,5,4.0,5
campaign event or info,2.0,3,2.0,3,3.0,5,3.0,5,12.0,4,12.0,4,1.0,1,1.0,1
character traits,2.0,3,2.0,3,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,2.0,2
covid,0.0,0,0.0,0,31.0,45,31.0,45,0.0,0,0.0,0,19.0,23,19.0,23
endorsement,4.0,5,4.0,5,1.0,2,1.0,2,0.0,0,0.0,0,1.0,1,1.0,1
horserace,1.0,1,1.0,1,5.0,7,5.0,7,6.0,2,6.0,2,4.0,5,4.0,5
media,7.000000000000001,8,7.000000000000001,8,5.0,7,5.0,7,12.0,4,12.0,4,11.0,13,11.0,13
other,11.0,13,11.0,13,3.0,5,3.0,5,18.0,6,18.0,6,8.0,9,8.0,9
policy issue,17.0,21,17.0,21,23.0,33,23.0,33,3.0,1,3.0,1,11.0,13,11.0,13
scandal,2.0,3,2.0,3,0.0,0,0.0,0,6.0,2,6.0,2,0.0,0,0.0,0
,0.0,0,0.0,0,1.0,2,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0
cited,24.0,30,24.0,30,28.999999999999996,42,28.999999999999996,42,59.0,20,59.0,20,4.0,5,4.0,5
cited_linked,7.000000000000001,9,7.000000000000001,9,26.0,37,26.0,37,0.0,0,0.0,0,1.0,1,1.0,1
cited_paraphrased,6.0,7,6.0,7,8.0,11,8.0,11,0.0,0,0.0,0,0.0,0,0.0,0
embedded,13.0,16,13.0,16,1.0,1,1.0,1,24.0,8,24.0,8,18.0,21,18.0,21
embedded_cited,36.0,44,36.0,44,5.0,7,5.0,7,6.0,2,6.0,2,74.0,89,74.0,89
embedded_paraphrased,5.0,6,5.0,6,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1
linked,1.0,1,1.0,1,1.0,2,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0
paraphrased,7.000000000000001,8,7.000000000000001,8,19.0,28,19.0,28,12.0,4,12.0,4,2.0,3,2.0,3
paraphrased_linked,2.0,2,2.0,2,9.0,13,9.0,13,0.0,0,0.0,0,0.0,0,0.0,0
,0.0,0,0.0,0,2.0,3,2.0,3,0.0,0,0.0,0,0.0,0,0.0,0
conflict,76.0,94,76.0,94,51.0,73,51.0,73,59.0,20,59.0,20,61.0,73,61.0,73
economic,1.0,1,1.0,1,11.0,16,11.0,16,3.0,1,3.0,1,2.0,3,2.0,3
human interest,11.0,14,11.0,14,25.0,36,25.0,36,38.0,13,38.0,13,27.0,32,27.0,32
morality,3.0,4,3.0,4,6.0,9,6.0,9,0.0,0,0.0,0,2.0,3,2.0,3
responsibility,8.0,10,8.0,10,5.0,7,5.0,7,0.0,0,0.0,0,8.0,9,8.0,9
,0.0,0,0.0,0,1.0,2,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0
3.0,4.0,5,4.0,5,0.0,0,0.0,0,6.0,2,6.0,2,0.0,0,0.0,0
negative,85.0,104,85.0,104,57.99999999999999,84,57.99999999999999,84,59.0,20,59.0,20,60.0,72,60.0,72
positive,11.0,14,11.0,14,40.0,58,40.0,58,35.0,12,35.0,12,40.0,48,40.0,48
,0.0,0,0.0,0,1.0,2,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0
illustration,46.0,57,46.0,57,31.0,44,31.0,44,38.0,13,38.0,13,28.000000000000004,34,28.000000000000004,34
non-primary source,16.0,20,16.0,20,24.0,35,24.0,35,41.0,14,41.0,14,3.0,4,3.0,4
trigger,37.0,46,37.0,46,44.0,63,44.0,63,21.0,7,21.0,7,68.0,82,68.0,82
,0.0,0,0.0,0,1.0,2,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0
amplifies the tweet,21.0,26,21.0,26,3.0,4,3.0,4,0.0,0,0.0,0,72.0,87,72.0,87
ctiticizes the tweet,54.0,66,54.0,66,48.0,69,48.0,69,3.0,1,3.0,1,4.0,5,4.0,5
neutral,25.0,31,25.0,31,48.0,69,48.0,69,97.0,33,97.0,33,23.0,28,23.0,28
