,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYGENERICFRAMESSECONDARY,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETGENERICFRAMESSECONDARY,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
87,66.0,2.0,2020,2020-09-07,https://www.cnn.com/2020/09/07/politics/trump-election-interference-china-biden/index.html,cnn,hard news,policy issue,conflict,responsibility,negative,no,yes,yes,no,yes,yes,yes,no,yes,yes,1.0,0.0,trump,paraphrased_linked,conflict,responsibility,negative,yes,no,policy issue,trigger,ctiticizes the tweet,Selected,4.0,cnn2020
88,67.0,2.0,2020,2020-09-07,https://www.cnn.com/2020/09/07/politics/us-election-2020-week-ahead/index.html,cnn,editorial,horserace,conflict,,negative,no,yes,yes,no,yes,no,no,no,yes,yes,1.0,0.0,trump,cited_linked,conflict,,negative,yes,no,horserace,illustration,ctiticizes the tweet,Selected,3.0,cnn2020
89,68.0,2.0,2020,2020-09-08,https://www.cnn.com/2020/09/08/opinions/trump-dishonors-voting-rights-amendments-powell-rich/index.html,cnn,editorial,policy issue,conflict,morality,negative,no,no,no,no,yes,yes,yes,yes,no,yes,1.0,0.0,trump,cited_linked,conflict,,negative,yes,no,policy issue,illustration,ctiticizes the tweet,Selected,4.0,cnn2020
90,69.0,2.0,2020,2020-09-09,https://www.cnn.com/2020/09/09/politics/donald-trump-kamala-harris-rhetoric/index.html,cnn,editorial,attack,conflict,,negative,no,no,no,no,no,no,no,no,no,no,2.0,0.0,trump,cited_paraphrased,conflict,,negative,no,no,attack,illustration,ctiticizes the tweet,Selected,0.0,cnn2020
91,69.0,2.0,2020,2020-09-09,https://www.cnn.com/2020/09/09/politics/donald-trump-kamala-harris-rhetoric/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,cited_paraphrased,conflict,,negative,no,no,attack,illustration,ctiticizes the tweet,Selected,0.0,cnn2020
92,70.0,2.0,2020,2020-09-09,https://www.cnn.com/2020/09/09/politics/donald-trump-kamala-harris/index.html,cnn,editorial,attack,conflict,,negative,no,yes,yes,no,no,no,no,no,no,no,1.0,0.0,trump,cited_linked,conflict,,negative,no,no,attack,illustration,ctiticizes the tweet,Selected,0.0,cnn2020
93,71.0,2.0,2020,2020-09-10,https://www.cnn.com/2020/09/10/politics/donald-trump-bob-woodward-book-rage/index.html,cnn,editorial,character traits,conflict,,negative,no,no,no,no,no,no,no,no,no,no,1.0,0.0,trump,cited_linked,conflict,,negative,no,no,attack,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
94,72.0,2.0,2020,2020-09-10,https://www.cnn.com/2020/09/10/politics/donald-trump-coronavirus-bob-woodward-book/index.html,cnn,editorial,character traits,conflict,responsibility,negative,no,no,no,no,no,yes,no,no,yes,no,1.0,0.0,trump,cited,conflict,,negative,no,no,attack,non-primary source,neutral,Selected,1.0,cnn2020
95,73.0,2.0,2020,2020-09-10,https://www.cnn.com/2020/09/10/politics/supreme-court-trump-judiciary-rule-of-law/index.html,cnn,editorial,policy issue,conflict,,negative,no,no,no,no,no,no,yes,no,yes,yes,1.0,3.0,trump,cited,conflict,,negative,no,no,attack,non-primary source,neutral,Selected,3.0,cnn2020
96,74.0,2.0,2020,2020-09-10,https://www.cnn.com/2020/09/10/tech/twitter-rules-trump-misinformation-election/index.html,cnn,soft news,policy issue,conflict,,negative,no,no,no,no,yes,no,no,no,no,yes,1.0,0.0,trump,cited_linked,conflict,,negative,no,no,media,non-primary source,neutral,Selected,2.0,cnn2020
97,75.0,2.0,2020,2020-09-12,https://www.cnn.com/2020/09/12/opinions/woodward-book-impact-trump-zelizer/index.html,cnn,editorial,attack,conflict,,negative,no,no,no,no,yes,no,no,no,no,no,1.0,0.0,trump,cited_linked,conflict,,negative,no,no,attack,non-primary source,ctiticizes the tweet,Selected,1.0,cnn2020
98,76.0,2.0,2020,2020-09-12,https://www.cnn.com/2020/10/11/tech/twitter-flags-donald-trump-tweet-coronavirus/index.html,cnn,soft news,media,conflict,,negative,no,yes,yes,no,yes,no,no,no,no,yes,1.0,0.0,trump,cited_linked,human interest,,positive,yes,no,covid,trigger,ctiticizes the tweet,Selected,2.0,cnn2020
99,77.0,2.0,2020,2020-09-13,https://www.cnn.com/2020/10/13/politics/trump-declassification-tweets/index.html,cnn,soft news,policy issue,conflict,,negative,no,yes,yes,no,yes,no,no,no,no,no,2.0,0.0,trump,cited,responsibility,,positive,yes,no,policy issue,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
100,77.0,2.0,2020,2020-09-13,https://www.cnn.com/2020/10/13/politics/trump-declassification-tweets/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,cited,responsibility,conflict,negative,yes,no,policy issue,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
101,78.0,2.0,2020,2020-09-14,https://www.cnn.com/2020/09/14/politics/fact-check-trump-mccabe-clinton-mcauliffe/index.html,cnn,soft news,character traits,conflict,,negative,no,yes,yes,no,no,no,no,no,no,yes,1.0,0.0,trump,cited_linked,conflict,,negative,yes,no,attack,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
102,79.0,2.0,2020,2020-09-15,https://www.cnn.com/2020/09/15/politics/donald-trump-biden-retweet/index.html,cnn,editorial,scandal,conflict,,negative,no,yes,yes,no,no,no,no,no,no,yes,1.0,0.0,trump,cited,conflict,,negative,yes,no,attack,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
103,80.0,2.0,2020,2020-09-16,https://www.cnn.com/2020/10/16/politics/joe-biden-trump-whitmer-kidnapping-plot/index.html,cnn,soft news,attack,conflict,responsibility,negative,no,no,no,no,no,yes,no,no,no,no,1.0,0.0,trump,cited,conflict,,negative,no,no,attack,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
104,81.0,2.0,2020,2020-09-16,https://www.cnn.com/2020/09/16/politics/trump-republicans-covid-stimulus/index.html,cnn,soft news,policy issue,conflict,,negative,no,no,no,no,no,no,yes,no,no,yes,1.0,0.0,trump,paraphrased_linked,economic,conflict,negative,no,no,policy issue,trigger,neutral,Selected,2.0,cnn2020
105,82.0,2.0,2020,2020-09-16,https://www.cnn.com/2020/09/16/us/big-ten-football-oct-spt-trnd/index.html,cnn,soft news,other,human interest,,positive,no,no,no,no,yes,no,no,no,no,yes,1.0,0.0,trump,cited_linked,human interest,,positive,no,no,other,illustration,neutral,Selected,2.0,cnn2020
106,83.0,2.0,2020,2020-09-17,https://www.cnn.com/2020/09/17/perspectives/twitter-trump-deception-biden/index.html,cnn,editorial,scandal,conflict,,negative,no,yes,yes,no,no,no,no,no,no,no,1.0,0.0,trump,paraphrased,conflict,,negative,yes,no,attack,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
107,84.0,2.0,2020,2020-09-17,https://www.cnn.com/2020/09/17/politics/mail-in-ballots-donald-trump-fraud-montana/index.html,cnn,editorial,policy issue,conflict,,negative,no,yes,yes,no,yes,no,no,no,yes,no,1.0,0.0,trump,cited_linked,conflict,,negative,yes,no,policy issue,trigger,ctiticizes the tweet,Selected,2.0,cnn2020
108,85.0,2.0,2020,2020-09-17,https://www.cnn.com/2020/09/17/uk/joe-biden-brexit-tweet-intl-gbr/index.html,cnn,soft news,policy issue,conflict,,negative,no,no,no,no,no,no,no,no,no,no,1.0,1.0,biden,cited_linked,responsibility,,positive,no,no,policy issue,trigger,neutral,Selected,0.0,cnn2020
109,86.0,2.0,2020,2020-09-19,https://www.cnn.com/2020/09/19/politics/ginsburg-supreme-court-vacancy-fight/index.html,cnn,editorial,policy issue,conflict,,negative,no,no,no,no,no,no,yes,no,no,yes,1.0,0.0,trump,cited,responsibility,,positive,no,no,policy issue,trigger,neutral,Selected,2.0,cnn2020
110,87.0,2.0,2020,2020-09-19,https://www.cnn.com/2020/09/19/politics/lindsey-graham-ginsburg-supreme-court-seat/index.html,cnn,editorial,policy issue,conflict,,negative,no,yes,no,no,no,no,yes,no,no,no,1.0,0.0,trump,linked,morality,,positive,no,no,policy issue,illustration,neutral,Selected,1.0,cnn2020
111,88.0,2.0,2020,2020-09-20,https://www.cnn.com/2020/09/20/media/1619-project-federal-government-curricula/index.html,cnn,soft news,policy issue,conflict,,negative,no,no,no,no,yes,no,no,no,no,no,1.0,0.0,trump,cited,conflict,responsibility,negative,no,no,policy issue,illustration,neutral,Selected,1.0,cnn2020
112,89.0,2.0,2020,2020-09-23,https://www.cnn.com/2020/09/22/politics/joe-biden-cindy-mccain-endorse/index.html,cnn,soft news,endorsement,conflict,morality,negative,no,no,no,no,no,no,yes,no,no,no,2.0,0.0,trump,cited,conflict,,negative,no,no,attack,illustration,neutral,Selected,1.0,cnn2020
113,89.0,2.0,2020,2020-09-23,https://www.cnn.com/2020/09/22/politics/joe-biden-cindy-mccain-endorse/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,cited_linked,morality,,positive,no,no,endorsement,illustration,neutral,Selected,0.0,cnn2020
114,90.0,2.0,2020,2020-09-23,https://www.cnn.com/2020/09/23/investing/stock-market-election-trump-biden/index.html,cnn,editorial,policy issue,economic,conflict,negative,no,yes,yes,no,yes,no,no,no,no,yes,1.0,0.0,trump,cited_linked,economic,conflict,negative,no,no,attack,illustration,neutral,Selected,2.0,cnn2020
115,91.0,2.0,2020,2020-09-23,https://www.cnn.com/2020/09/23/politics/coronavirus-donald-trump-election-2020/index.html,cnn,soft news,covid,conflict,,negative,no,no,no,no,yes,yes,yes,no,no,no,1.0,0.0,harris,cited_linked,responsibility,,negative,no,no,covid,non-primary source,neutral,Selected,2.0,cnn2020
116,92.0,2.0,2020,2020-09-25,https://www.cnn.com/2020/09/24/investing/mark-cuban-andrew-yang-stimulus-checks-ubi/index.html,cnn,soft news,policy issue,economic,,negative,no,no,no,yes,no,no,no,no,no,yes,1.0,0.0,trump,paraphrased,morality,,positive,no,no,policy issue,illustration,neutral,Selected,1.0,cnn2020
117,93.0,2.0,2020,2020-09-24,https://www.cnn.com/2020/09/24/opinions/democracy-at-risk-trump-peaceful-transfer-of-power-avlon/index.html,cnn,editorial,horserace,conflict,,negative,no,yes,yes,no,yes,no,yes,no,yes,yes,1.0,0.0,trump,cited_linked,conflict,,negative,yes,no,horserace,illustration,ctiticizes the tweet,Selected,4.0,cnn2020
118,94.0,2.0,2020,2020-09-24,https://www.cnn.com/2020/09/24/politics/fact-check-biden-teleprompter-corden/index.html,cnn,soft news,attack,conflict,,negative,no,yes,yes,no,no,no,no,no,yes,yes,1.0,3.0,trump,paraphrased,conflict,,negative,yes,no,attack,non-primary source,ctiticizes the tweet,Selected,2.0,cnn2020
