PUBLISHER,cnn,cnn,fox,fox
YEAR,2016,2020,2016,2020
attack,66,37,15,48
call to action,0,1,0,5
campaign event or info,3,5,4,1
character traits,3,0,0,2
covid,0,45,0,23
endorsement,5,2,0,1
horserace,1,7,2,5
media,8,7,4,13
other,13,5,6,9
policy issue,21,33,1,13
scandal,3,0,2,0
cited,30,42,20,5
cited_linked,9,37,0,1
cited_paraphrased,7,11,0,0
embedded,16,1,8,21
embedded_cited,44,7,2,89
embedded_paraphrased,6,1,0,1
linked,1,2,0,0
paraphrased,8,28,4,3
paraphrased_linked,2,13,0,0
conflict,94,73,20,73
economic,1,16,1,3
human interest,14,36,13,32
morality,4,9,0,3
responsibility,10,7,0,9
3.0,5,0,2,0
negative,104,84,20,72
positive,14,58,12,48
illustration,57,44,13,34
non-primary source,20,35,14,4
trigger,46,63,7,82
amplifies the tweet,26,4,0,87
ctiticizes the tweet,66,69,1,5
neutral,31,69,33,28
