,2016,2020
4.0,0.0,1.0
9.0,0.0,2.0
editorial,14.000000000000002,44.0
hard news,8.0,8.0
soft news,78.0,45.0
attack,27.0,19.0
campaign event or info,10.0,5.0
character traits,8.0,3.0
covid,0.0,28.000000000000004
endorsement,3.0,1.0
horserace,5.0,8.0
media,11.0,5.0
other,8.0,3.0
policy issue,19.0,24.0
scandal,10.0,3.0
3.0,5.0,0.0
negative,94.0,91.0
positive,2.0,9.0
no,79.0,98.0
yes,21.0,2.0
