Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Filters,Decorum_Z,Language_Z
22.0,YouTube Shorts,NPR,The Belfast peace walls are not coming down anytime soon. - YouTube,8/30/23,155,3,,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,0.0,Hybrid,0,0,0.25,0.0
23.0,YouTube Shorts,NPR,McConnell freezes at Kentucky press conference - YouTube,8/31/23,306,131,,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0,2.0,2.0,1.0,Hybrid,0,0,0.0,0.25
24.0,YouTube Shorts,NPR,A world record volleyball match - YouTube,9/1/23,136,6,,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,,,4.0,3.0,1.0,Hybrid,0,0,24.5,24.5
25.0,YouTube Shorts,NPR,"Torrential rains flood Greece, Turkey, Bulgaria - YouTube",9/6/23,63,2,,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,,,7.0,3.0,1.0,Hybrid,0,0,24.5,24.5
26.0,YouTube Shorts,NPR,Technicians demonstrate a Soviet-era reactor - YouTube,9/6/23,146,5,,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,0.0,Hybrid,0,0,0.25,0.0
27.0,YouTube Shorts,NPR,"Convicted murderer ""crab walks"" out of Pennsylvania prison yard - YouTube",9/7/23,145,16,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,,,3.0,3.0,1.0,Hybrid,0,0,24.5,24.5
28.0,YouTube Shorts,NPR,Ailing explorer trapped in Turkish cave - YouTube,9/8/23,76,3,,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,,4.0,3.0,2.0,1.0,Hybrid,0,0,24.5,0.25
29.0,Instagram Reels,NPR,Things are not looking good for amphibians.,11/1/23,8567,71,,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,3.0,4.0,7.0,3.0,0.0,Hybrid,0,0,0.5,0.25
30.0,Instagram Reels,NPR,Foreign nationals gathered at Gaza's border crossing with Egypt on…,11/1/23,7056,1085,,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,,,1.0,2.0,1.0,Hybrid,0,0,24.5,24.5
31.0,Instagram Reels,NPR,Why marigolds on Día de los Muertos?,11/1/23,15943,80,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,1.0,3.0,0.0,Hybrid,1,1,0.25,0.0
