Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,Animations,Filters,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Decorum_Z,Language_Z
107,YouTube Shorts,GoodMorning BadNews,Supreme Court kills Biden’s student loan forgiveness | GMBN (youtube.com),6/30/23,108,0,,1,1,1,1,1,1,0,1,1,1,1,1,1,2,4,2,4,5,2,5,0,SMonly,1,0.25,0.0
108,YouTube Shorts,GoodMorning BadNews,Why Are Netflix Shows So Awful? | GMBN (youtube.com),7/14/23,472,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,3,4,3,-93,5,4,4,0,SMonly,1,24.5,0.0
109,YouTube Shorts,GoodMorning BadNews,| GMBN (youtube.com),7/21/23,159,0,,1,1,1,1,1,1,0,1,1,1,1,1,1,4,3,4,-93,4,6,4,0,SMonly,1,24.5,0.25
110,YouTube Shorts,GoodMorning BadNews,Trump Faces 641 Years in Prison | GMBN (youtube.com),8/4/23,168,0,,1,1,1,1,1,1,0,1,1,1,1,1,1,3,5,3,-93,3,2,4,0,SMonly,1,24.5,0.5
111,YouTube Shorts,GoodMorning BadNews,"AirBnb is Crashing, You Can Finally Buy a House! | GMBN (youtube.com)",8/9/23,170,0,,1,1,1,1,1,1,0,1,1,1,1,1,1,4,3,4,4,4,6,4,0,SMonly,1,0.25,0.25
112,YouTube Shorts,GoodMorning BadNews,The Republican Debate Was a Mess | GMBN (youtube.com),8/24/23,262,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,4,5,2,4,1,SMonly,1,0.25,0.0
113,Instagram Reels,GoodMorning BadNews,"Would the US ever reinstate the draft,",10/10/23,3747,109,,1,1,0,1,1,1,0,1,1,1,0,1,1,3,2,3,3,5,2,4,0,SMonly,1,0.5,0.0
114,Instagram Reels,GoodMorning BadNews,An international tribunal of legal experts found the US,10/25/23,5096,72,,1,1,1,1,1,1,0,1,1,1,0,1,1,3,4,3,-93,4,2,4,0,SMonly,1,24.5,0.25
115,Instagram Reels,GoodMorning BadNews,"After weeks of infighting, there is finally a new Speaker of the Houser: Mike Johnson,",11/2/23,6612,269,,1,1,1,1,1,1,0,1,1,1,1,1,1,2,5,2,5,5,2,5,0,SMonly,1,0.0,0.0
116,Instagram Reels,GoodMorning BadNews,Our bloated military is a malignancy on the United States,11/10/23,12355,331,,1,1,0,1,1,1,0,1,1,1,0,1,1,2,5,1,4,5,2,5,0,SMonly,1,0.25,0.0
117,Instagram Reels,GoodMorning BadNews,Going to college might be the worst investment you can make in your future. ,11/17/23,4078,84,,1,1,1,1,1,1,0,1,1,1,1,1,1,4,3,4,5,3,6,4,0,SMonly,1,0.0,0.5
118,Instagram Reels,GoodMorning BadNews,"As Of 2024, Millennials and Gen-Zers have less money ",1/1/24,11773,271,,1,1,0,1,1,1,0,1,1,1,1,1,1,3,4,3,4,4,6,4,0,SMonly,1,0.25,0.25
119,Instagram Reels,GoodMorning BadNews,Israel has been officially charged with genocide against the Palestinian,1/13/24,4727,112,,1,1,0,1,1,1,0,1,1,1,0,1,1,2,4,2,-93,3,1,4,0,SMonly,1,24.5,0.5
120,TikTok,GoodMorning BadNews,#goodmorningbadnews #goodmorninggoodnews #transatlantic #tennessee #involuntary #prison #jail #jimcrowlaws #jimcrow #incarceration #trump #biden #abrahamlincoln #13amendment #13thamendment,10/6/23,125700,1718,9491.0,1,1,1,1,1,1,0,1,1,1,1,1,1,4,4,3,4,5,2,5,0,SMonly,1,0.25,0.0
121,TikTok,GoodMorning BadNews,#goodmorningbadnews #ww3 #israel #palestine #libya #hamas #iran #ukraine #worldnews #conflict #draft #militarydraft #rotc #usarmy #usnavy #usmarines #usmc @danfromtheinternet,10/10/23,125700,3315,9627.0,1,1,0,1,1,1,0,1,1,1,0,1,1,3,2,3,3,5,2,4,0,SMonly,1,0.5,0.0
122,TikTok,GoodMorning BadNews,#goodmorningbadnews #initedstates #israel #palestine #international #icj #ww3 #hamas #russia #ukraine #guilty #justice #internationalcourtofjustice #hague #thehague #crimes,10/25/23,105700,1856,11400.0,1,1,1,1,1,1,0,1,1,1,0,1,1,3,4,3,-93,4,2,4,0,SMonly,1,24.5,0.25
123,TikTok,GoodMorning BadNews,#goodmorningbadnews #military #usmilitary #occupation #afghanistan #iraq #syria #vietnam #bush #georgebush #obama #biden #trump #israel #gaza #ukraine #russia,11/11/23,43400,1297,4033.0,1,1,0,1,1,1,0,1,1,1,0,1,1,2,5,1,4,5,2,5,0,SMonly,1,0.25,0.0
124,TikTok,GoodMorning BadNews,OUR FAVORITE KIND OF UPDATE! #henrykissinger #kissinger #kissingerisstillalive #vietnam #politics #nixon #republican #democrats #hillaryclinton #clinton #vietnamwar #cambodia #celebrities,11/30/23,103500,810,9535.0,1,1,1,1,1,1,0,1,1,1,1,2,1,4,5,3,4,5,2,5,0,SMonly,1,0.25,0.0
125,TikTok,GoodMorning BadNews,#goodmorningbadnews #money #pay #paycheck #pricegouging #profits #salary #stocks #wages #wealth #workers #hyperinflation #inflation #lobbying #economy #employees #bills #business #workingclass #millennials #babyboomers #poverty #genz #genz #generation #broke #poor #rent #bills,1/1/24,115500,1855,11800.0,1,1,0,1,1,1,0,1,1,1,1,1,1,3,4,3,4,4,6,4,0,SMonly,1,0.25,0.25
126,TikTok,GoodMorning BadNews,#goodmorningbadnews #israel #gaza #netanyahu #biden #icj,1/13/24,5441,127,494.0,1,1,0,1,1,1,0,1,1,1,0,1,1,2,4,2,-93,3,1,4,0,SMonly,1,24.5,0.5
