Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,Animations,Filters,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Decorum_Z,Language_Z
28,YouTube Shorts,NPR,Ailing explorer trapped in Turkish cave - YouTube,9/8/23,76,3,,0,0,0,0,0,1,1,0,0,0,0,1,1,3,3,3,-93,2,3,2,1,Hybrid,0,24.5,0.75
29,Instagram Reels,NPR,Things are not looking good for amphibians.,11/1/23,8567,71,,1,0,0,0,1,1,0,1,1,1,0,1,1,4,3,4,3,2,7,3,0,Hybrid,0,0.5,0.75
30,Instagram Reels,NPR,Foreign nationals gathered at Gaza's border crossing with Egypt on…,11/1/23,7056,1085,,1,0,0,0,1,1,1,1,0,0,0,2,1,3,4,3,-93,-93,1,2,1,Hybrid,0,24.5,24.5
31,Instagram Reels,NPR,Why marigolds on Día de los Muertos?,11/1/23,15943,80,,99,1,1,1,1,0,1,1,1,1,0,1,1,5,4,4,2,1,1,3,0,Hybrid,1,0.75,1.0
32,Instagram Reels,NPR,Many hospitals in Israel are moving underground in case of a missile attack.⁠,11/1/23,6579,1833,,1,0,0,0,1,1,1,1,0,1,0,1,1,3,2,3,3,2,1,3,0,Hybrid,0,0.5,0.75
33,Instagram Reels,NPR,Israelis are rallying for the release of all Palestinian prisoners in…,11/1/23,7767,857,,1,0,0,0,1,1,1,1,0,1,0,2,1,2,4,2,3,2,1,3,0,Hybrid,0,0.5,0.75
34,Instagram Reels,NPR,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,11/2/23,496472,1803,,1,0,0,0,0,1,1,1,0,0,0,2,1,2,3,3,-93,-93,1,3,1,Hybrid,0,24.5,24.5
35,Instagram Reels,NPR,"The environmental justice movement got its start on the side of the highway in Warren County, N.C.",11/3/23,7538,261,,1,0,0,0,1,1,0,1,1,1,0,1,1,4,4,3,1,1,7,3,0,Hybrid,0,1.0,1.0
36,TikTok,NPR,Foreign nationals gathered at Gaza's border crossing with Egypt on…,11/1/23,470,24,22.0,1,0,0,0,1,1,1,1,0,0,0,2,1,3,4,3,-93,-93,1,2,1,Hybrid,0,24.5,24.5
37,TikTok,NPR,Israelis are rallying for the release of all Palestinian prisoners in…,11/2/23,821,118,51.0,1,0,0,0,1,1,1,1,0,1,0,2,1,2,4,2,3,2,1,3,0,Hybrid,0,0.5,0.75
