,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
353,1658,1,2016,,https://www.cnn.com/2016/10/11/politics/donald-trump-paul-ryan-tweets/index.html,cnn,soft news,attack,conflict,negative,no,no,no,no,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,no,no,attack,trigger,amplifies the tweet,,,cnn2016
354,1662,1,2016,,https://www.cnn.com/2016/10/11/politics/trump-stern-mike-tyson/index.html,cnn,soft news,scandal,conflict,negative,no,no,no,yes,no,no,no,no,no,no,1,0,trump,cited,human interest,positive,no,no,endorsement,trigger,ctiticizes the tweet,,,cnn2016
355,1663,1,2016,,https://www.cnn.com/2016/10/12/politics/donald-trump-women-new-york-times-report/index.html,cnn,soft news,scandal,conflict,negative,no,yes,yes,yes,no,no,no,no,yes,no,2,0,trump,cited,conflict,negative,no,yes,media,illustration,ctiticizes the tweet,,,cnn2016
356,1672,1,2016,,https://www.cnn.com/2016/10/16/opinions/trump-tweets-snl-obeidallah/index.html,cnn,soft news,attack,conflict,negative,no,no,no,no,no,no,no,no,no,no,1,0,trump,cited,conflict,negative,no,no,media,trigger,ctiticizes the tweet,,,cnn2016
357,1673,1,2016,,https://www.cnn.com/2016/10/17/politics/juanita-broaddrick-donald-trump-hillary-clinton-2016-election/index.html,cnn,soft news,scandal,conflict,negative,no,no,no,yes,no,no,no,yes,no,no,1,1,biden,embedded_cited,conflict,negative,no,no,scandal,illustration,neutral,,,cnn2016
358,1674,1,2016,,https://www.cnn.com/2016/10/17/politics/kellyanne-conway-donald-trump-2016-election/index.html,cnn,soft news,scandal,conflict,negative,no,yes,yes,no,no,no,yes,no,yes,no,1,0,trump,embedded_cited,conflict,negative,yes,no,attack,illustration,ctiticizes the tweet,,,cnn2016
359,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,15,0,trump,cited_linked,responsibility,negative,yes,no,attack,trigger,ctiticizes the tweet,,,cnn2016
360,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,cited_linked,responsibility,negative,yes,yes,policy issue,trigger,ctiticizes the tweet,,,cnn2016
361,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,paraphrased_linked,conflict,negative,yes,no,attack,trigger,ctiticizes the tweet,,,cnn2016
362,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,responsibility,negative,yes,no,attack,trigger,ctiticizes the tweet,,,cnn2016
